,OPERATIONAL_DAY,TRAIN_NUMBER,OPERATION_TRAIN_NUMBER,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,COMMERCIAL_LINE_NUMBER_DESIGNATION,TRAIN_GROUP_TRAIN_CATEGORY_ABBREVIATION,TRAIN_GROUP_ROUTE,OPERATING_POINT_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,OPERATIONAL_PUNCTUAL,DAILY_PLAN_OPERATIONAL_DELAY_SEC,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_DAY_PERIOD_IDENTIFIER_FINE,OPERATION_TRAIN_RUN_SEQUENCE_NUMBER,PLAN_FORMATION_MAXIMAL_VELOCITY
10,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,RU,departure,False,pass,,,0,,,,,200
11,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,LANG,departure,True,pass,2025-01-01 19:10:54.000 +0100,2025-01-01 19:17:11.000 +0100,0,377.0,NVZ,ABEND,11.0,200
12,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,GKD,departure,False,pass,,,0,,,,,200
13,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,ROHS,departure,False,pass,,,0,,,,,200
14,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,ROHS,arrival,False,pass,,,0,,,,,200
15,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,GEXI,arrival,False,pass,,,0,,,,,200
16,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,RU,arrival,False,pass,,,0,,,,,200
17,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,SIS,departure,False,pass,,,0,,,,,200
18,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MU,arrival,True,pass,2025-01-01 19:47:36.000 +0100,2025-01-01 19:56:07.000 +0100,0,511.0,NVZ,ABEND,43.0,200
19,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,SCOE,arrival,False,pass,,,0,,,,,200
20,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,SCHL,arrival,True,pass,2025-01-01 19:05:36.000 +0100,2025-01-01 19:11:36.000 +0100,0,360.0,NVZ,ABEND,6.0,200
21,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,GMT,departure,True,pass,2025-01-01 19:13:30.000 +0100,2025-01-01 19:19:25.000 +0100,0,355.0,NVZ,ABEND,13.0,200
22,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,EINF,arrival,True,pass,2025-01-01 19:05:00.000 +0100,2025-01-01 19:11:03.000 +0100,0,363.0,NVZ,ABEND,5.0,200
23,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,GEXI,departure,False,pass,,,0,,,,,200
24,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LB,departure,False,pass,,,0,,,,,200
25,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,TK,departure,False,pass,,,0,,,,,200
26,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,AA,arrival,False,pass,,,0,,,,,200
27,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MELH,departure,True,pass,2025-01-01 19:13:06.000 +0100,2025-01-01 19:19:08.000 +0100,0,362.0,NVZ,ABEND,12.0,200
28,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BSJS,arrival,True,pass,2025-01-01 19:49:24.000 +0100,2025-01-01 19:57:18.000 +0100,0,474.0,NVZ,ABEND,44.0,200
29,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LST,arrival,False,pass,,,0,,,,,200
30,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,OLTU,arrival,False,pass,,,0,,,,,200
31,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,DKW,departure,False,pass,,,0,,,,,200
32,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BAD,arrival,True,commercialStop,2025-01-01 20:19:42.000 +0100,2025-01-01 20:20:01.000 +0100,1,19.0,NVZ,ABEND,51.0,200
33,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LSSS,arrival,False,pass,,,0,,,,,200
34,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BSVB,arrival,True,pass,2025-01-01 20:18:12.000 +0100,2025-01-01 20:18:29.000 +0100,1,17.0,NVZ,ABEND,50.0,200
35,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MU,departure,True,pass,2025-01-01 19:47:36.000 +0100,2025-01-01 19:56:07.000 +0100,0,511.0,NVZ,ABEND,43.0,200
36,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LST,departure,False,pass,,,0,,,,,200
37,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,OLO,departure,False,pass,,,0,,,,,200
38,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LSSS,departure,False,pass,,,0,,,,,200
39,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,SCOE,departure,False,pass,,,0,,,,,200
40,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,ZLST,departure,True,pass,2025-01-01 19:01:12.000 +0100,2025-01-01 19:06:57.000 +0100,0,345.0,NVZ,ABEND,2.0,200
41,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BS,arrival,True,commercialStop,2025-01-01 19:53:00.000 +0100,2025-01-01 20:00:40.000 +0100,0,460.0,NVZ,ABEND,46.0,200
42,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,BS,departure,True,commercialStop,2025-01-01 20:13:42.000 +0100,2025-01-01 20:13:56.000 +0100,1,14.0,NVZ,ABEND,46.0,200
43,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,OTH,departure,False,pass,,,0,,,,,200
