TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6010,R13,NV,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:05:00,2025-01-01 05:05:00,2025-01-01 05:05:09.890221,9.890221390312945,12.0,0.575,3.2,7.2,0.0,,,total_delay=10s
6906,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:05:00,2025-01-01 05:06:00,2025-01-01 05:06:03.000000,63.0,63.0,0.575,3.2,7.2,0.0,,,total_delay=63s
6010,R13,LD,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:07:00,2025-01-01 05:07:05.440459,5.440458701381431,11.0,0.575,3.2,7.2,0.0,,,
6010,R13,LD,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:08:00,2025-01-01 05:07:40.359664,40.359664222389256,7.0,0.575,3.2,7.2,0.0,,,total_delay=40s
6011,R13,BI,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:07:00,2025-01-01 05:08:00,2025-01-01 05:07:44.045033,44.045033312224405,83.0,0.575,3.2,7.2,0.0,,,
7608,S20,BI,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:08:00,2025-01-01 05:06:00,2025-01-01 05:08:00.000000,0.0,-70.0,0.575,3.2,7.2,0.0,,,
6010,R13,CRNE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:09:00,2025-01-01 05:10:00,2025-01-01 05:09:36.845925,36.84592532024908,10.0,0.575,3.2,7.2,0.0,,,
6010,R13,CRNE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:10:00,2025-01-01 05:10:00,2025-01-01 05:10:06.986444,6.986444355195999,7.0,0.575,3.2,7.2,0.0,,,total_delay=7s
3657,RE4,BI,FV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:12:00,2025-01-01 05:12:00,2025-01-01 05:12:00.000000,0.0,47.0,0.575,3.2,7.2,0.0,,,
14105,S21,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:12:00,2025-01-01 05:13:00,2025-01-01 05:12:00.000000,0.0,11.0,0.575,3.2,7.2,0.0,,,
6010,R13,CORN,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:12:00,2025-01-01 05:12:00,2025-01-01 05:12:14.942917,14.94291674645865,7.0,0.575,3.2,7.2,0.0,,,
6010,R13,CORN,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:13:00,2025-01-01 05:13:00,2025-01-01 05:13:09.511621,9.511621392983216,11.0,0.575,3.2,7.2,0.0,,,total_delay=10s
6010,R13,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:16:00,2025-01-01 05:16:00,2025-01-01 05:15:59.446360,-0.5536403584010259,6.0,0.575,3.2,7.2,0.0,,,
1509,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 05:16:00,2025-01-01 05:16:00,2025-01-01 05:16:11.000000,11.0,11.0,0.575,3.2,7.2,0.0,,,total_delay=11s
6010,R13,SBL,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:17:00,2025-01-01 05:17:00,2025-01-01 05:17:03.430006,3.4300064996932633,18.0,0.575,3.2,7.2,0.0,,,
14212,S20,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:17:00,2025-01-01 05:17:00,2025-01-01 05:17:46.000000,46.0,46.0,0.575,3.2,7.2,0.0,,,total_delay=46s
18164,RE56,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:19:00,2025-01-01 05:19:00,2025-01-01 05:19:13.000000,13.0,13.0,0.575,3.2,7.2,0.0,,,total_delay=13s
7108,R41,BI,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:20:00,2025-01-01 05:20:00,2025-01-01 05:20:00.000000,0.0,-7.0,0.575,3.2,7.2,0.0,,,
6010,R13,NE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:20:00,2025-01-01 05:20:00,2025-01-01 05:20:35.061282,35.061282428236154,23.0,0.575,3.2,7.2,0.0,,,
7659,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:21:00,2025-01-01 05:21:00,2025-01-01 05:21:00.000000,0.0,-25.0,0.575,3.2,7.2,0.0,,,
6010,R13,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:22:00,2025-01-01 05:22:00,2025-01-01 05:22:01.413831,1.413830778285046,25.0,0.575,3.2,7.2,0.0,,,
3320,IR65,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:22:00,2025-01-01 05:22:00,2025-01-01 05:22:07.000000,7.0,7.0,0.575,3.2,7.2,0.0,,,total_delay=7s
