TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
1509,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 05:16:00,2025-01-01 05:16:00,2025-01-01 05:17:26.315791,86.31579128415979,11.0,-4,0.0,22,8,10,0.0,"switch_failure(+86s,snow=10cm) | total_delay=86s"
6010,R13,SBL,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:16:00,2025-01-01 05:16:00,2025-01-01 05:17:50.012485,110.01248514794497,6.0,-4,0.0,22,8,10,0.0,
18164,RE56,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:19:00,2025-01-01 05:19:00,2025-01-01 05:19:00.000000,0.0,13.0,-4,0.0,22,8,10,0.0,
7108,R41,BI,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:20:00,2025-01-01 05:20:00,2025-01-01 05:20:00.000000,0.0,-7.0,-4,0.0,22,8,10,0.0,
6010,R13,SBL,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:17:00,2025-01-01 05:17:00,2025-01-01 05:20:52.969580,232.96958048655142,18.0,-4,0.0,22,8,10,0.0,"switch_failure(+152s,snow=10cm) | total_delay=233s"
7659,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:21:00,2025-01-01 05:21:00,2025-01-01 05:21:00.000000,0.0,-25.0,-4,0.0,22,8,10,0.0,
3320,IR65,BI,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:22:00,2025-01-01 05:22:00,2025-01-01 05:22:00.000000,0.0,7.0,-4,0.0,22,8,10,0.0,
6010,R13,NE,RV,arrival,True,commercialStop,140,NVZ,2025-01-01 05:20:00,2025-01-01 05:20:00,2025-01-01 05:24:22.593463,262.59346313808055,23.0,-4,0.0,22,8,10,0.0,
6010,R13,NE,RV,departure,True,commercialStop,140,NVZ,2025-01-01 05:22:00,2025-01-01 05:22:00,2025-01-01 05:24:55.174808,175.17480818430704,25.0,-4,0.0,22,8,10,0.0,total_delay=175s
6907,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:25:00,2025-01-01 05:24:00,2025-01-01 05:25:00.000000,0.0,-57.0,-4,0.0,22,8,10,0.0,
3208,IR66,NE,FV,arrival,True,commercialStop,160,NVZ,2025-01-01 05:27:00,2025-01-01 05:27:00,2025-01-01 05:27:00.000000,0.0,19.0,-4,0.0,22,8,10,0.0,
15322,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 05:24:00,2025-01-01 05:24:00,2025-01-01 05:27:52.973237,232.973236646445,-3.0,-4,0.0,22,8,10,0.0,"switch_failure(+233s,snow=10cm) | total_delay=233s"
3208,IR66,NE,FV,departure,True,commercialStop,160,NVZ,2025-01-01 05:29:00,2025-01-01 05:29:00,2025-01-01 05:29:05.642239,5.64223936396229,-49.0,-4,0.0,22,8,10,0.0,total_delay=6s
3209,IR66,NE,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:30:00,2025-01-01 05:29:00,2025-01-01 05:30:00.000000,0.0,-16.0,-4,0.0,22,8,10,0.0,
3209,IR66,NE,FV,departure,True,commercialStop,160,HVZ,2025-01-01 05:32:00,2025-01-01 05:32:00,2025-01-01 05:32:04.081872,4.081872483075131,-11.0,-4,0.0,22,8,10,0.0,
15321,S3,BI,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:35:00,2025-01-01 05:35:00,2025-01-01 05:35:00.000000,0.0,56.0,-4,0.0,22,8,10,0.0,
6908,R23,NE,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:36:00,2025-01-01 05:36:00,2025-01-01 05:36:00.000000,0.0,34.0,-4,0.0,22,8,10,0.0,
6015,R13,NE,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:36:00,2025-01-01 05:36:00,2025-01-01 05:36:00.000000,0.0,16.0,-4,0.0,22,8,10,0.0,
7656,S20,BI,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:38:00,2025-01-01 05:39:00,2025-01-01 05:38:00.000000,0.0,74.0,-4,0.0,22,8,10,0.0,
6015,R13,NE,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:38:00,2025-01-01 05:38:00,2025-01-01 05:38:03.444419,3.4444193213312246,-34.0,-4,0.0,22,8,10,0.0,
3321,IR65,BI,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:39:00,2025-01-01 05:39:00,2025-01-01 05:39:00.000000,0.0,5.0,-4,0.0,22,8,10,0.0,
7107,R41,BI,RV,arrival,True,commercialStop,140,HVZ,2025-01-01 05:39:00,2025-01-01 05:41:00,2025-01-01 05:39:00.000000,0.0,98.0,-4,0.0,22,8,10,0.0,
7022,R21,NE,RV,departure,True,commercialStop,140,HVZ,2025-01-01 05:41:00,2025-01-01 05:41:00,2025-01-01 05:41:00.000000,0.0,-8.0,-4,0.0,22,8,10,0.0,
14207,S20,NE,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:41:00,2025-01-01 05:41:00,2025-01-01 05:41:00.000000,0.0,-15.0,-4,0.0,22,8,10,0.0,
18161,RE56,BI,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:41:00,2025-01-01 05:40:00,2025-01-01 05:41:00.000000,0.0,-4.0,-4,0.0,22,8,10,0.0,
6015,R13,SBL,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:42:00,2025-01-01 05:41:00,2025-01-01 05:41:34.999441,-25.000559001298825,-16.0,-4,0.0,22,8,10,0.0,
6015,R13,SBL,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:42:00,2025-01-01 05:42:00,2025-01-01 05:42:10.870633,10.870632775156992,-5.0,-4,0.0,22,8,10,0.0,total_delay=11s
1506,IC5,BI,FV,arrival,True,commercialStop,200,HVZ,2025-01-01 05:43:00,2025-01-01 05:43:00,2025-01-01 05:43:00.000000,0.0,32.0,-4,0.0,22,8,10,0.0,
